Phylum,x,y
Firmicutes,-13.3493,-4.58177
Bacteroidetes,-1.33719,17.3074
Firmicutes,6.4368,41.8088
Firmicutes,23.8967,-77.821
Firmicutes,40.2431,5.35653
Firmicutes,42.0911,25.887
Firmicutes,-45.7726,-12.8766
Firmicutes,29.2296,3.50393
Firmicutes,-19.5527,-22.6823
Bacteroidetes,-29.1565,-29.9672
Firmicutes,-25.3957,29.8309
Bacteroidetes,-10.042,88.325
Proteobacteria,-15.5959,-42.6864
Firmicutes,45.0879,-12.626
Firmicutes,-27.6007,54.5132
Proteobacteria,5.12809,-26.9009
Firmicutes,9.86184,19.8554
Firmicutes,-43.8686,-0.908833
Firmicutes,51.9018,-6.39205
Actinobacteria,-87.056,31.2507
Bacteroidetes,-10.1149,90.1142
Bacteroidetes,18.4151,37.7615
Firmicutes,-47.6697,15.4828
Bacteroidetes,-31.847,-19.3676
Firmicutes,30.0463,-55.6382
Proteobacteria,3.0554,-22.4843
Firmicutes,-45.1926,19.4713
Proteobacteria,3.13068,-22.393
Bacteroidetes,-31.7602,-19.3709
Firmicutes,-43.9651,-0.950865
Actinobacteria,81.6955,-14.8183
Bacteroidetes,-71.5697,-6.10175
Proteobacteria,-8.1892,-0.196634
Firmicutes,60.6741,-18.0733
Bacteroidetes,47.3874,-24.806
Bacteroidetes,-1.13321,17.959
Firmicutes,40.6827,23.5889
Bacteroidetes,-30.4604,-20.7235
Bacteroidetes,-37.8292,-12.1511
Bacteroidetes,55.8013,42.6754
Firmicutes,64.9913,-29.5025
Firmicutes,34.8206,-38.789
Firmicutes,36.2501,-14.5826
Firmicutes,50.2893,-7.17336
Firmicutes,5.29264,-50.3648
Firmicutes,39.7501,-34.6035
Firmicutes,-38.3164,61.7499
Bacteroidetes,-46.875,-71.4796
Firmicutes,-18.4718,-26.7414
Firmicutes,-63.0904,28.8641
Firmicutes,1.7441,24.0358
Firmicutes,-89.3511,-4.67458
Actinobacteria,5.09548,50.8413
Firmicutes,-43.4072,38.5495
Firmicutes,-58.9781,21.43
Bacteroidetes,2.15374,0.822826
Bacteroidetes,-10.041,88.3525
Firmicutes,71.2496,37.5564
Firmicutes,-51.8108,-15.7862
Firmicutes,-7.46213,-29.8401
Bacteroidetes,62.6703,-36.344
Firmicutes,42.1371,21.5236
Firmicutes,56.303,-7.09171
Firmicutes,26.8087,88.9524
Firmicutes,33.1913,-57.1051
Firmicutes,32.9539,-68.762
Bacteroidetes,-10.068,90.0542
Firmicutes,44.3984,-1.55211
Firmicutes,48.635,0.595912
Firmicutes,41.3623,-63.0179
Verrucomicrobia,-73.0037,7.98984
Firmicutes,33.5551,-3.08451
Firmicutes,-64.1228,-12.6435
Proteobacteria,-0.140796,-74.926
Firmicutes,28.1839,-74.4692
Actinobacteria,51.3294,17.9079
Bacteroidetes,-10.0408,90.0301
Firmicutes,-46.4792,4.87155
Bacteroidetes,-11.2286,86.1785
Firmicutes,-20.3083,-28.9433
Firmicutes,42.1859,25.7071
Firmicutes,-21.6587,-25.2394
Proteobacteria,75.9613,-27.8067
Actinobacteria,81.5411,-14.7374
Firmicutes,-51.0945,-15.5796
Firmicutes,-59.1186,21.273
Firmicutes,34.5383,-14.5482
Firmicutes,-13.6418,29.5499
Firmicutes,-5.07632,-66.9
Firmicutes,-54.8753,-17.7947
Firmicutes,44.2702,-12.3681
Firmicutes,-36.3125,74.5842
Bacteroidetes,0.452859,-38.2983
Proteobacteria,23.9573,43.7749
Firmicutes,20.121,-33.8234
Firmicutes,-26.4989,51.156
Actinobacteria,76.6922,-19.1444
Bacteroidetes,-9.94277,88.6898
Bacteroidetes,18.6733,38.0866
Bacteroidetes,-1.61328,26.683
Bacteroidetes,38.1494,12.9501
Firmicutes,16.9164,-7.62239
Firmicutes,21.4005,-60.1624
